word,category
financial,financial
statement,financial
balance,financial
sheet,financial
income,financial
cash,financial
flow,financial
assets,financial
liabilities,financial
equity,financial
revenue,financial
expenses,financial
profit,financial
loss,financial
net,financial
gross,financial
margin,financial
operating,financial
cost,financial
depreciation,financial
amortization,financial
interest,financial
tax,financial
ebitda,financial
audit,financial
accounting,financial
bookkeeping,financial
ledger,financial
transaction,financial
bank,financial
loan,financial
credit,financial
debit,financial
investment,financial
dividend,financial
share,financial
stock,financial
bond,financial
market,financial
value,financial
return,financial
risk,financial
rate,financial
currency,financial
exchange,financial
foreign,financial
hedging,financial
derivative,financial
valuation,financial
portfolio,financial
management,financial
capital,financial
budget,financial
forecast,financial
analysis,financial
liquidity,financial
solvency,financial
efficiency,financial
ratio,financial
benchmark,financial
reporting,financial
disclosure,financial
standard,financial
gaap,financial
ifrs,financial
sec,financial
annual,financial
quarterly,financial
fiscal,financial
year,financial
earnings,financial
recognition,financial
expenditure,financial
operating,financial
investing,financial
financing,financial
working,financial
receivable,financial
payable,financial
debt,financial
ebit,financial
profitability,financial
income,financial
expense,financial
amortization,financial
turnover,financial
investment,financial
dcf,financial
npv,financial
write-off,financial
reserves,financial
revaluation,financial
per,financial
share,financial
eps,financial
yield,financial
coverage,financial
roa,financial
roe,financial
dcf,financial
npv,financial
compliance,financial
fraud,financial
divestiture,financial
merger,financial
acquisition,financial
model,financial
forecasting,financial
projections,financial
benchmarking,financial
word,category
legal,legal
statement,legal
balance,legal
sheet,legal
income,legal
cash,legal
flow,legal
assets,legal
liabilities,legal
equity,legal
revenue,legal
expenses,legal
profit,legal
loss,legal
net,legal
gross,legal
margin,legal
operating,legal
cost,legal
depreciation,legal
amortization,legal
interest,legal
tax,legal
ebitda,legal
audit,legal
accounting,legal
bookkeeping,legal
ledger,legal
transaction,legal
bank,legal
loan,legal
credit,legal
debit,legal
investment,legal
dividend,legal
share,legal
stock,legal
bond,legal
market,legal
value,legal
return,legal
risk,legal
rate,legal
currency,legal
exchange,legal
foreign,legal
hedging,legal
derivative,legal
valuation,legal
portfolio,legal
management,legal
capital,legal
budget,legal
forecast,legal
analysis,legal
liquidity,legal
solvency,legal
efficiency,legal
ratio,legal
benchmark,legal
reporting,legal
disclosure,legal
standard,legal
gaap,legal
ifrs,legal
sec,legal
annual,legal
quarterly,legal
fiscal,legal
year,legal
earnings,legal
recognition,legal
expenditure,legal
operating,legal
investing,legal
financing,legal
working,legal
receivable,legal
payable,legal
debt,legal
ebit,legal
profitability,legal
income,legal
expense,legal
amortization,legal
turnover,legal
investment,legal
dcf,legal
npv,legal
write-off,legal
reserves,legal
revaluation,legal
per,legal
share,legal
eps,legal
yield,legal
coverage,legal
roa,legal
roe,legal
dcf,legal
npv,legal
compliance,legal
fraud,legal
divestiture,legal
merger,legal
acquisition,legal
model,legal
forecasting,legal
projections,legal
benchmarking,legal
agreement,legal
contract,legal
parties,legal
terms,legal
conditions,legal
payment,legal
delivery,legal
effective,legal
amendment,legal
term,legal
termination,legal
obligations,legal
confidentiality,legal
indemnification,legal
representations,legal
warranties,legal
liability,legal
jurisdiction,legal
dispute,legal
resolution,legal
governing,legal
law,legal
compensation,legal
mutual,legal
binding,legal
renewal,legal
license,legal
royalties,legal
exclusivity,legal
insurance,legal
audit,legal
notices,legal
conflicts,legal
force majeure,legal
compliance,legal
assignment,legal
waiver,legal
severability,legal
entire agreement,legal
execution,legal
date,legal
authorized,legal
representative,legal
survival,legal
amendments,legal
performance,legal
breach,legal
remedies,legal
negotiate,legal
counterparts,legal
expenses,legal
applicable law,legal
confidential information,legal
reasonable,legal
good faith,legal
interpretation,legal
enforceable,legal
invalid,legal
void,legal
amend,legal
execute,legal
ratify,legal
understand,legal
cooperate,legal
recitals,legal
approval,legal
consent,legal
authority,legal
negotiation,legal
counterparty,legal
jurisdictional,legal
obligated,legal
notification,legal
force majeure event,legal
